"sku","name","selling_price","original_price","discount","availability","color","category","breadcrumbs","average_rating","reviews_count"
"H35501","Adicolor Essentials Trefoil Swim Shorts",28,35,7,"InStock","Yellow","Clothing","Men/Clothing",4.8,23
"H22628","Marble Logo Graphic Print Hoodie",32,45,13,"InStock","White","Clothing","Kids/Clothing",5,8
"S42718","Supernova+ Shoes",84,120,36,"InStock","Blue","Shoes","Women/Shoes",4.3,151
"FX1983","Copa Sense.3 Laceless Firm Ground Cleats",49,70,21,"InStock","White","Shoes","Kids/Shoes",4.8,43
"H32424","Jacquard Trefoil Crew Socks 2 Pairs",12,14,2,"InStock","White","Accessories","Originals/Accessories",5,9
"FX2247","EQ21 Run Shoes",44,55,11,"InStock","Blue","Shoes","Kids/Shoes",4.7,177
"GV9935","EQ21 Run Shoes",48,60,12,"InStock","Grey","Shoes","Kids/Shoes",4.7,177
"FW6935","X Ghosted.3 Firm Ground Cleats",42,60,18,"InStock","Pink","Shoes","Kids/Shoes",4.7,68
"S42721","Supernova+ Shoes",84,120,36,"InStock","Grey","Shoes","Women/Shoes",4.3,151
"GW4844","QT Racer Sport Shoes",52,65,13,"InStock","White","Shoes","Women/Shoes",4.4,454
"FX2858","Supernova+ Shoes",72,120,48,"InStock","White","Shoes","Women/Shoes",4.3,151
"H00667","Choigo Shoes",70,100,30,"InStock","White","Shoes","Women/Shoes",4.7,135
"GZ7705","Daily 3.0 Shoes",35,50,15,"InStock","Black","Shoes","Kids/Shoes",4.7,190
"GZ7706","Daily 3.0 Shoes",40,50,10,"InStock","Pink","Shoes","Kids/Shoes",4.7,190
"FY6503","Choigo Shoes",70,100,30,"InStock","Black","Shoes","Women/Shoes",4.7,135
